C,BAND,SPEC,AGE,HA,SEX,BP,MONTH,DAY,YEAR,TIME,NET
R,254081865,HOWA,5,R,M,0,8,1,2009,74,8
N,254081866,HOWA,5,PS,M,0,5,12,2009,64,7
R,254081866,HOWA,5,PS,M,0,7,4,2009,93,6
R,254081866,HOWA,5,PS,M,0,7,11,2009,103,9
N,254081867,HOWA,5,PS,M,0,5,12,2009,64,1
R,254081867,HOWA,5,PS,M,0,7,11,2009,103,6
N,254081868,HOWA,5,PS,F,4,5,12,2009,74,10
N,254081869,HOWA,5,PS,F,1,5,12,2009,74,1
R,254081869,HOWA,5,PS,F,3,5,24,2009,73,1
R,254081869,HOWA,5,PS,F,4,6,28,2009,73,1
N,254081870,HOWA,5,PS,M,0,5,12,2009,74,5
R,254081870,HOWA,5,PS,M,0,5,24,2009,93,1
R,254081870,HOWA,5,PS,M,0,7,11,2009,63,1
N,254081871,HOWA,5,PS,F,1,5,12,2009,84,10
N,254081873,HOWA,6,PS,F,3,5,12,2009,84,5
N,254081874,HOWA,5,PS,M,0,5,12,2009,84,10
R,254081874,HOWA,5,PS,M,0,6,28,2009,113,6
N,254081880,HOWA,5,PS,M,0,5,24,2009,73,4
N,254081885,HOWA,5,PS,F,3,5,24,2009,113,4
N,254081887,HOWA,6,PS,M,0,5,24,2009,113,9
N,254081890,HOWA,5,PS,F,4,5,31,2009,103,6
N,254081891,HOWA,5,PS,M,0,5,31,2009,103,2
N,254081893,HOWA,6,PS,M,0,5,31,2009,103,5
N,254081897,HOWA,5,PS,M,0,5,31,2009,113,9
N,254081899,HOWA,5,PS,M,0,6,17,2009,93,6
N,254081903,HOWA,2,PS,F,0,6,28,2009,63,5
N,254081904,HOWA,2,PS,M,0,6,28,2009,73,6
N,254081908,HOWA,5,PS,M,0,6,28,2009,103,4
N,254081912,HOWA,2,PS,M,0,7,4,2009,73,9
N,254081913,HOWA,2,PS,M,0,7,4,2009,73,6
N,254081914,HOWA,2,PS,M,0,7,4,2009,83,3
N,254081915,HOWA,2,PS,M,0,7,4,2009,93,1
N,254081916,HOWA,2,PS,M,0,7,4,2009,93,5
N,254081918,HOWA,5,PS,M,0,7,4,2009,93,5
N,254081919,HOWA,6,PS,F,4,7,4,2009,93,1
N,254081921,HOWA,5,PS,F,1,7,4,2009,93,10
N,254081923,HOWA,2,PS,M,0,7,4,2009,113,5
N,254081924,HOWA,2,PS,F,0,7,4,2009,113,2
N,254081928,HOWA,2,PS,M,0,7,11,2009,73,5
N,254081929,HOWA,2,PS,M,0,7,11,2009,83,9
N,254081930,HOWA,2,PS,F,0,7,11,2009,83,7
N,254081931,HOWA,2,PS,F,0,7,11,2009,83,7
N,254081932,HOWA,2,PS,M,0,7,11,2009,83,7
N,254081936,HOWA,2,PS,M,0,7,11,2009,93,3
N,254081937,HOWA,2,PS,F,0,7,11,2009,93,10
N,254081938,HOWA,5,PS,F,4,7,11,2009,93,2
N,254081940,HOWA,5,PS,F,4,7,11,2009,103,1
N,254081942,HOWA,5,PS,F,4,7,11,2009,103,2
N,254081944,HOWA,2,PS,M,0,7,11,2009,113,5
N,254081945,HOWA,2,PS,M,0,7,26,2009,74,8
N,254081946,HOWA,2,PS,M,0,7,26,2009,74,9
N,254081947,HOWA,2,PS,M,0,7,26,2009,74,2
N,254081957,HOWA,2,PS,M,0,7,26,2009,114,2
N,254081958,HOWA,2,PS,M,0,8,1,2009,64,5
N,254081960,HOWA,2,PS,F,0,8,1,2009,84,7
N,254081961,HOWA,2,PS,M,0,8,1,2009,84,7
N,254081962,HOWA,2,PS,F,0,8,1,2009,84,7
N,254081964,HOWA,2,PS,M,0,8,1,2009,94,6
N,254081965,HOWA,2,PS,M,0,8,1,2009,94,6
N,254081966,HOWA,2,PS,F,0,8,1,2009,94,6
N,254081968,HOWA,2,PS,M,0,8,1,2009,104,9
N,254081969,HOWA,2,PS,F,0,8,1,2009,104,6
N,254081970,HOWA,2,PS,M,0,8,1,2009,104,9
N,254081972,HOWA,2,PS,F,0,8,1,2009,114,8
N,254081975,HOWA,2,PS,M,0,8,1,2009,114,6
N,237051104,HOWA,5,PS,M,0,5,15,2010,,8
R,237051104,HOWA,5,PS,M,0,5,22,2010,83,7
N,237051107,HOWA,2,PS,M,0,8,7,2010,84,9
N,237051109,HOWA,2,PS,U,0,8,7,2010,104,8
N,237051110,HOWA,2,PS,M,0,8,7,2010,104,9
R,237051374,HOWA,6,PS,F,3,5,22,2010,113,3
R,243080045,HOWA,6,PS,M,0,6,12,2010,103,3
R,243080045,HOWA,6,R,M,0,8,1,2010,103,3
R,246083337,HOWA,6,R,M,0,5,22,2010,103,3
R,246083338,HOWA,6,PS,F,4,6,26,2010,63,4
R,246083346,HOWA,6,PS,M,0,5,15,2010,104,3
R,246083346,HOWA,6,PS,M,0,6,26,2010,93,2
R,246083354,HOWA,6,PS,M,0,5,15,2010,94,2
R,246083354,HOWA,6,PS,M,0,5,22,2010,73,4
R,246083354,HOWA,6,PS,M,0,7,10,2010,103,6
R,254081866,HOWA,6,PS,M,0,6,12,2010,113,7
R,254081867,HOWA,6,PS,M,0,6,26,2010,103,2
R,254081867,HOWA,6,R,M,0,7,3,2010,83,1
R,254081874,HOWA,6,PS,M,0,6,12,2010,83,10
R,254081874,HOWA,6,R,M,0,7,10,2010,93,10
R,254081891,HOWA,6,R,M,0,5,15,2010,104,1
R,254081897,HOWA,6,PS,M,0,6,5,2010,113,10
R,254081904,HOWA,5,PS,M,0,5,15,2010,74,8
R,254081904,HOWA,5,R,M,0,6,26,2010,73,8
R,254081908,HOWA,6,PS,M,0,5,15,2010,104,2
R,254081908,HOWA,6,PS,M,0,6,5,2010,93,1
R,254081908,HOWA,6,PS,M,0,6,26,2010,83,2
R,254081945,HOWA,5,PS,M,0,6,5,2010,83,4
R,254081969,HOWA,5,PS,F,4,5,22,2010,93,7
R,254081969,HOWA,5,PS,F,4,7,3,2010,63,7
R,254081972,HOWA,5,R,F,3,6,26,2010,73,8
N,254081977,HOWA,5,PS,F,3,5,15,2010,84,8
R,254081977,HOWA,5,PS,F,4,5,22,2010,103,9
R,254081977,HOWA,5,PS,F,5,7,10,2010,103,7
N,254081978,HOWA,6,PS,M,0,5,15,2010,84,1
R,254081978,HOWA,6,PS,M,0,6,5,2010,113,2
N,254081981,HOWA,1,R,F,4,5,15,2010,84,5
R,254081981,HOWA,1,R,F,3,7,10,2010,113,4
N,254081983,HOWA,5,PS,F,3,5,15,2010,84,10
N,254081984,HOWA,5,PS,M,0,5,15,2010,84,8
R,254081984,HOWA,5,PS,M,0,5,22,2010,83,7
R,254081984,HOWA,5,PS,M,0,6,5,2010,83,7
R,254081984,HOWA,5,PS,M,0,6,12,2010,83,7
N,254081987,HOWA,6,PS,F,3,5,15,2010,94,?
R,254081987,HOWA,6,PS,F,4,6,12,2010,73,5
N,254081988,HOWA,5,PS,M,0,5,15,2010,94,4
R,254081988,HOWA,5,PS,M,0,5,22,2010,113,4
N,254081998,HOWA,5,PS,F,3,5,15,2010,114,9
N,264077903,HOWA,5,PS,M,0,5,22,2010,73,7
R,264077903,HOWA,5,PS,M,0,6,5,2010,93,6
R,264077903,HOWA,5,PS,M,0,6,12,2010,73,9
R,264077903,HOWA,5,PS,M,0,6,12,2010,113,9
R,264077903,HOWA,5,P,M,0,6,26,2010,83,7
R,264077903,HOWA,5,PS,M,0,7,3,2010,73,7
N,264077904,HOWA,5,PS,F,3,5,22,2010,93,6
R,264077904,HOWA,5,PS,F,2,6,12,2010,73,6
N,264077905,HOWA,5,PS,F,4,5,22,2010,93,1
R,264077905,HOWA,5,PS,F,4,6,12,2010,83,1
N,264077912,HOWA,5,PS,M,0,6,5,2010,113,3
N,264077913,HOWA,5,PS,M,0,6,5,2010,93,10
N,264077914,HOWA,5,PS,M,0,6,12,2010,83,6
N,264077915,HOWA,5,PS,M,0,6,12,2010,93,10
N,264077923,HOWA,5,PS,F,4,6,26,2010,63,3
N,264077924,HOWA,2,PS,M,0,6,26,2010,63,3
N,264077925,HOWA,2,PS,M,0,6,26,2010,63,3
N,264077926,HOWA,2,PM,F,0,6,26,2010,73,3
N,264077928,HOWA,2,PF,F,0,6,26,2010,83,6
N,264077930,HOWA,2,PS,M,0,6,26,2010,93,9
N,264077931,HOWA,2,PS,M,0,6,26,2010,93,10
N,264077933,HOWA,2,PS,M,0,6,26,2010,93,2
N,264077937,HOWA,5,PS,F,4,6,26,2010,103,2
N,264077939,HOWA,2,PF,M,0,6,26,2010,113,5
N,264077940,HOWA,2,PS,M,0,7,3,2010,73,3
R,264077940,HOWA,2,PS,M,0,7,3,2010,93,5
N,264077943,HOWA,1,PS,F,4,7,3,2010,113,6
N,264077944,HOWA,5,PS,M,0,7,3,2010,113,6
N,264077947,HOWA,2,P,M,0,7,3,2010,113,1
N,264077949,HOWA,2,PF,M,0,7,10,2010,73,7
N,264077950,HOWA,2,PS,M,0,7,10,2010,73,10
N,264077951,HOWA,1,PS,M,0,7,10,2010,73,3
N,264077953,HOWA,2,PS,F,0,7,10,2010,93,8
N,264077954,HOWA,5,PS,M,0,7,10,2010,93,6
N,264077955,HOWA,1,PS,M,0,7,10,2010,93,6
N,264077956,HOWA,2,PS,F,0,7,10,2010,93,4
N,264077958,HOWA,5,PS,F,4,7,10,2010,103,5
N,264077960,HOWA,2,PS,F,0,7,10,2010,103,6
N,264077961,HOWA,2,PS,M,0,7,10,2010,103,6
N,264077965,HOWA,2,PS,M,0,7,10,2010,113,4
N,264077967,HOWA,5,PS,F,4,7,10,2010,113,7
N,264077968,HOWA,2,P,F,0,7,10,2010,113,10
N,264077974,HOWA,2,PS,F,0,7,24,2010,73,2
R,264077974,HOWA,2,PS,F,0,8,7,2010,94,3
N,264077975,HOWA,2,PS,F,0,7,24,2010,73,6
N,264077976,HOWA,2,PS,M,0,7,24,2010,73,7
N,264077977,HOWA,2,PS,M,0,8,1,2010,93,10
N,264077978,HOWA,2,S,F,0,8,1,2010,93,10
N,264077979,HOWA,2,PS,M,0,8,1,2010,93,10
N,264077980,HOWA,2,PS,M,0,8,1,2010,93,10
N,264077981,HOWA,2,PS,F,0,8,1,2010,93,10
N,264077982,HOWA,2,PS,F,0,8,1,2010,93,10
N,264077983,HOWA,2,PS,M,0,8,1,2010,93,10
N,264077984,HOWA,2,PS,F,0,8,1,2010,93,7
N,264077988,HOWA,2,SP,F,0,8,1,2010,113,10
N,264077991,HOWA,2,PS,F,0,8,1,2010,113,9
N,264077992,HOWA,2,PS,M,0,8,1,2010,113,10
N,264077993,HOWA,2,PS,M,0,8,1,2010,113,1
N,264077994,HOWA,2,PS,M,0,8,7,2010,74,10
N,264077996,HOWA,2,PS,M,0,8,7,2010,84,4
N,264077997,HOWA,2,PS,M,0,8,7,2010,84,3
N,264077998,HOWA,2,PS,F,0,8,7,2010,84,3
N,264077999,HOWA,2,PS,M,0,8,7,2010,84,2
N,264078000,HOWA,2,PS,F,0,8,7,2010,84,2
R,246083337,HOWA,6,R,M,0,7,2,2011,113,3
R,254081866,HOWA,6,PS,M,0,6,4,2011,83,7
R,254081908,HOWA,6,R,M,0,5,28,2011,93,2
R,254081908,HOWA,6,PS,M,0,7,2,2011,103,2
R,254081983,HOWA,6,PS,F,4,5,15,2011,94,1
R,254081987,HOWA,6,PS,F,4,6,4,2011,83,5
R,254096181,HOWA,6,PS,M,0,5,15,2011,104,4
R,264077904,HOWA,6,R,F,4,6,11,2011,93,10
R,264077912,HOWA,6,PS,M,0,5,15,2011,64,3
R,264077937,HOWA,6,PS,F,3,5,15,2011,114,3
R,264077980,HOWA,5,PS,M,0,5,28,2011,103,9
N,266060601,HOWA,6,PS,F,2,5,15,2011,64,2
R,266060601,HOWA,6,R,F,2,5,15,2011,64,2
R,266060601,HOWA,6,Y,F,4,5,28,2011,83,2
R,266060601,HOWA,6,PS,F,4,6,26,2011,73,1
N,266060602,HOWA,5,PS,F,4,5,15,2011,64,8
R,266060602,HOWA,5,PS,F,4,6,11,2011,93,9
N,266060603,HOWA,5,PS,M,0,5,15,2011,64,7
R,266060603,HOWA,5,PS,M,0,6,11,2011,63,7
N,266060604,HOWA,5,PS,M,0,5,15,2011,64,8
R,266060604,HOWA,5,PS,M,0,5,28,2011,103,8
R,266060604,HOWA,5,PS,M,0,6,4,2011,73,8
R,266060604,HOWA,5,PS,M,0,6,11,2011,63,8
N,266060605,HOWA,6,PS,F,4,5,15,2011,74,3
N,266060606,HOWA,1,R,F,2,5,15,2011,74,6
R,266060606,HOWA,1,R,F,3,6,4,2011,83,1
N,266060607,HOWA,5,PS,F,4,5,15,2011,74,1
R,266060607,HOWA,5,PS,F,4,5,28,2011,93,2
N,266060612,HOWA,6,PS,M,0,5,15,2011,84,8
N,266060613,HOWA,6,PS,F,4,5,15,2011,94,2
N,266060614,HOWA,5,PS,F,4,5,15,2011,94,9
N,266060621,HOWA,5,PS,M,0,5,15,2011,114,9
N,266060623,HOWA,6,Y,F,4,5,28,2011,63,5
N,266060624,HOWA,5,PS,F,3,5,28,2011,73,7
R,266060624,HOWA,5,PS,F,4,6,4,2011,93,9
N,266060625,HOWA,1,R,M,0,5,28,2011,73,2
R,266060625,HOWA,1,R,M,0,6,26,2011,83,4
N,266060627,HOWA,5,PS,F,3,5,28,2011,83,9
R,266060627,HOWA,5,PS,F,2,6,4,2011,93,9
N,266060628,HOWA,6,PS,F,2,5,28,2011,103,1
N,266060630,HOWA,5,PS,M,0,5,28,2011,113,6
R,266060630,HOWA,5,PS,M,0,6,4,2011,73,6
N,266060632,HOWA,5,PS,F,4,6,4,2011,93,10
N,266060636,HOWA,6,PS,F,4,6,4,2011,93,3
N,266060642,HOWA,5,PS,F,4,6,4,2011,113,7
N,266060643,HOWA,5,PS,M,0,6,4,2011,113,6
N,266060648,HOWA,5,PS,M,0,6,11,2011,103,7
N,266060649,HOWA,6,PS,M,0,6,11,2011,113,2
N,266060650,HOWA,2,P,M,0,6,26,2011,63,3
N,266060651,HOWA,2,PS,M,0,6,26,2011,63,3
N,266060653,HOWA,2,SP,F,0,6,26,2011,83,3
N,266060654,HOWA,2,SP,M,0,6,26,2011,83,3
N,266060655,HOWA,2,PS,F,0,6,26,2011,83,7
N,266060656,HOWA,2,PS,M,0,6,26,2011,83,7
N,266060657,HOWA,2,PS,M,0,6,26,2011,83,7
N,266060658,HOWA,2,PS,F,0,6,26,2011,93,2
N,266060660,HOWA,2,PS,F,0,6,26,2011,93,3
N,266060661,HOWA,2,PS,M,0,6,26,2011,93,3
N,266060662,HOWA,2,PS,M,0,6,26,2011,93,3
N,266060663,HOWA,2,PS,M,0,6,26,2011,93,6
R,266060663,HOWA,2,PS,M,0,7,16,2011,113,6
N,266060664,HOWA,2,PS,M,0,6,26,2011,93,3
N,266060665,HOWA,2,SP,M,0,6,26,2011,93,5
N,266060666,HOWA,2,SP,M,0,6,26,2011,93,1
N,266060669,HOWA,2,SP,M,0,6,26,2011,103,7
N,266060671,HOWA,2,SP,F,0,6,26,2011,103,9
N,266060672,HOWA,2,PS,F,0,6,26,2011,103,3
N,266060673,HOWA,2,PS,F,0,6,26,2011,103,2
N,266060678,HOWA,2,SP,F,0,6,26,2011,103,9
N,266060680,HOWA,5,PS,M,0,6,26,2011,113,10
N,266060682,HOWA,2,PS,M,0,7,2,2011,73,3
R,266060682,HOWA,2,PS,M,0,7,16,2011,103,3
N,266060683,HOWA,5,PS,M,0,7,2,2011,73,10
N,266060684,HOWA,2,JS,M,0,7,2,2011,73,8
N,266060685,HOWA,2,JS,F,0,7,2,2011,73,6
N,266060686,HOWA,2,PS,M,0,7,2,2011,73,6
N,266060687,HOWA,2,PS,M,0,7,2,2011,73,6
N,266060689,HOWA,2,PS,M,0,7,2,2011,83,2
N,266060690,HOWA,2,JS,M,0,7,2,2011,83,3
N,266060691,HOWA,2,JS,M,0,7,2,2011,93,8
R,266060691,HOWA,2,PS,M,0,7,16,2011,93,2
N,266060692,HOWA,2,JS,M,0,7,2,2011,93,9
N,266060693,HOWA,5,PS,M,0,7,2,2011,93,9
N,266060695,HOWA,2,JS,F,0,7,2,2011,103,6
N,266060697,HOWA,2,JS,M,0,7,2,2011,103,6
N,266060698,HOWA,6,PS,F,4,7,2,2011,103,6
N,266060699,HOWA,2,JS,M,0,7,2,2011,103,10
N,266060700,HOWA,2,JS,M,0,7,2,2011,103,4
N,266060702,HOWA,2,PS,M,0,7,2,2011,103,10
N,266060703,HOWA,2,P,F,0,7,2,2011,103,2
N,266060707,HOWA,2,JS,M,0,7,2,2011,103,4
N,266060709,HOWA,2,JS,M,0,7,2,2011,113,4
N,266060713,HOWA,2,JS,M,0,7,2,2011,113,8
N,266060714,HOWA,2,JS,M,0,7,2,2011,113,8
N,266060715,HOWA,5,PS,M,0,7,2,2011,113,8
N,266060716,HOWA,2,PS,U,0,7,16,2011,73,2
N,266060717,HOWA,2,P,M,0,7,16,2011,83,8
N,266060718,HOWA,2,PS,F,0,7,16,2011,83,1
N,266060719,HOWA,2,PS,M,0,7,16,2011,83,8
N,266060720,HOWA,2,P,F,0,7,16,2011,83,5
N,266060721,HOWA,2,PS,F,0,7,16,2011,83,4
N,266060722,HOWA,2,PS,M,0,7,16,2011,83,1
N,266060723,HOWA,2,PS,M,0,7,16,2011,83,5
N,266060724,HOWA,2,PS,M,0,7,16,2011,93,2
N,266060725,HOWA,2,PS,M,0,7,16,2011,93,7
N,266060726,HOWA,2,PS,F,0,7,16,2011,93,?
N,266060730,HOWA,2,PS,F,0,7,16,2011,103,10
N,266060731,HOWA,2,PS,U,0,7,16,2011,113,3
N,266060736,HOWA,2,PS,M,0,7,16,2011,113,8
N,266060737,HOWA,2,PS,M,0,7,16,2011,113,3
N,266060738,HOWA,2,PS,F,0,7,24,2011,73,8
N,266060739,HOWA,2,PS,M,0,7,24,2011,73,1
N,266060740,HOWA,2,PS,M,0,7,24,2011,73,3
N,266060741,HOWA,2,JS,F,0,7,24,2011,73,5
N,266060742,HOWA,2,PS,F,0,7,24,2011,83,1
N,266060744,HOWA,2,PS,F,0,7,24,2011,83,1
N,266060745,HOWA,2,PS,M,0,7,24,2011,83,1
N,266060746,HOWA,2,PS,M,0,7,24,2011,83,1
N,266060747,HOWA,2,PS,M,0,7,24,2011,83,3
N,266060748,HOWA,2,PS,M,0,7,24,2011,93,8
N,266060749,HOWA,2,PS,M,0,7,24,2011,103,1
N,266060750,HOWA,2,PS,F,0,7,24,2011,113,1
N,266060751,HOWA,2,PS,M,0,7,24,2011,113,5
N,266060752,HOWA,2,PS,U,0,8,6,2011,73,3
N,266060753,HOWA,2,PS,F,0,8,6,2011,73,4
N,266060754,HOWA,2,PS,M,0,8,6,2011,73,3
N,266060755,HOWA,2,P,F,0,8,6,2011,83,3
N,266060756,HOWA,2,P,M,0,8,6,2011,83,10
N,266060757,HOWA,2,PS,F,0,8,6,2011,83,7
N,266060758,HOWA,2,P,F,0,8,6,2011,83,10
N,266060760,HOWA,2,PS,M,0,8,6,2011,103,9
N,266060761,HOWA,2,PS,M,0,8,6,2011,103,1
N,266060762,HOWA,2,PS,M,0,8,6,2011,103,10
N,266060763,HOWA,2,P,F,0,8,6,2011,103,6
N,266060765,HOWA,2,PS,M,0,8,6,2011,113,2
N,266060767,HOWA,6,PS,M,0,5,13,2012,64,3
N,266060768,HOWA,5,PS,F,3,5,13,2012,64,3
N,266060770,HOWA,5,PS,F,3,5,13,2012,74,1
N,266060771,HOWA,5,PS,M,0,5,13,2012,74,1
N,266060773,HOWA,5,PS,M,0,5,13,2012,74,5
N,266060778,HOWA,5,PS,M,0,5,13,2012,94,4
N,266060780,HOWA,6,PS,M,0,5,13,2012,104,10
N,266060787,HOWA,6,PS,F,3,5,13,2012,114,8
N,266060791,HOWA,6,PS,F,4,5,21,2012,73,6
N,266060792,HOWA,6,PS,M,0,5,21,2012,73,10
N,266060793,HOWA,5,PS,F,4,5,21,2012,73,3
N,266060795,HOWA,5,PS,M,0,5,21,2012,83,3
N,266060798,HOWA,5,PS,F,2,5,21,2012,93,8
N,266060800,HOWA,6,PS,M,0,5,21,2012,103,8
N,266060803,HOWA,6,PS,F,3,5,21,2012,113,5
N,266060807,HOWA,6,PS,M,0,6,2,2012,93,4
N,266060810,HOWA,6,PS,M,0,6,2,2012,93,7
N,266060815,HOWA,2,PS,M,0,6,16,2012,72,6
N,266060819,HOWA,2,JS,F,0,6,16,2012,102,6
N,266060823,HOWA,6,PS,F,4,6,24,2012,72,7
N,266060824,HOWA,5,PS,M,0,6,24,2012,72,4
N,266060825,HOWA,5,PS,F,4,6,24,2012,82,8
N,266060826,HOWA,2,P,M,0,6,24,2012,82,9
N,266060827,HOWA,2,PS,M,0,6,24,2012,82,9
N,266060828,HOWA,2,PS,M,0,6,24,2012,82,9
N,266060829,HOWA,6,PS,M,0,6,24,2012,92,2
N,266060831,HOWA,2,PS,M,0,7,7,2012,63,6
N,266060832,HOWA,2,PS,M,0,7,7,2012,73,7
N,266060833,HOWA,2,PS,M,0,7,7,2012,83,5
N,266060834,HOWA,2,PS,M,0,7,7,2012,83,3
N,266060835,HOWA,2,PS,F,0,7,7,2012,83,10
N,266060837,HOWA,2,PS,M,0,7,7,2012,93,6
N,266060842,HOWA,2,PS,M,0,7,14,2012,83,1
N,266060845,HOWA,2,PS,F,0,7,14,2012,93,3
N,266060847,HOWA,2,PS,F,0,7,14,2012,113,6
N,266060849,HOWA,2,PS,M,0,7,14,2012,113,6
N,266060850,HOWA,2,P,M,0,7,28,2012,83,7
N,266060851,HOWA,2,PS,M,0,7,28,2012,93,5
N,266060852,HOWA,2,PS,M,0,7,28,2012,103,4
R,246083354,HOWA,6,PS,M,0,5,13,2012,74,5
R,266060625,HOWA,6,PS,M,0,5,13,2012,84,1
R,266060630,HOWA,6,PS,M,0,5,13,2012,94,10
R,266060767,HOWA,5,PS,M,0,5,21,2012,63,3
R,266060623,HOWA,5,L,F,3,5,21,2012,83,6
R,266060773,HOWA,5,PS,M,0,5,21,2012,83,5
R,266060770,HOWA,5,PS,F,4,5,21,2012,83,5
R,266060780,HOWA,5,PS,M,0,5,21,2012,93,6
R,266060778,HOWA,5,PS,M,0,5,21,2012,103,2
R,266060691,HOWA,5,PS,M,0,5,21,2012,103,8
R,266060771,HOWA,6,PS,M,0,6,2,2012,113,2
R,266060623,HOWA,5,PS,F,4,6,16,2012,72,6
R,266060773,HOWA,5,LS,M,0,6,16,2012,82,5
R,266060778,HOWA,5,PS,M,0,6,16,2012,82,2
R,254081929,HOWA,6,PS,M,0,6,16,2012,92,7
R,266060791,HOWA,5,PS,F,4,6,16,2012,92,10
R,266060762,HOWA,6,PS,M,0,6,16,2012,102,10
R,266060792,HOWA,1,PS,M,0,6,16,2012,102,10
R,266060819,HOWA,2,PS,M,0,6,24,2012,72,10
R,266060771,HOWA,5,PS,M,0,7,7,2012,113,1
R,246083354,HOWA,5,LS,M,0,7,14,2012,113,5
N,266060858,HOWA,5,P,M,0,5,16,2013,84,3
N,266060859,HOWA,5,P,F,1,5,16,2013,84,8
N,266060867,HOWA,5,P,M,0,5,21,2013,74,8
N,266060869,HOWA,5,P,M,0,5,21,2013,84,6
N,266060871,HOWA,5,P,M,0,5,21,2013,104,7
N,266060874,HOWA,5,P,M,0,6,8,2013,63,9
N,266060875,HOWA,5,P,F,4,6,8,2013,63,9
N,266060876,HOWA,2,P,U,0,6,8,2013,63,9
N,266060877,HOWA,5,P,F,3,6,8,2013,73,5
N,266060878,HOWA,5,P,F,3,6,8,2013,83,6
N,266060880,HOWA,6,P,M,0,6,8,2013,83,4
N,266060881,HOWA,5,P,F,4,6,8,2013,93,3
N,266060885,HOWA,6,P,M,0,6,8,2013,93,8
N,266060893,HOWA,5,P,M,0,6,15,2013,63,6
N,266060897,HOWA,5,P,M,0,6,15,2013,83,3
N,266060898,HOWA,6,P,M,0,6,15,2013,93,6
N,266060899,HOWA,6,P,M,0,6,15,2013,93,6
N,266060901,HOWA,5,P,F,2,6,22,2013,64,8
N,266060902,HOWA,6,P,M,0,6,22,2013,64,8
N,266060903,HOWA,6,P,M,0,6,22,2013,73,3
N,266060908,HOWA,2,P,U,0,7,6,2013,81,5
N,266060914,HOWA,5,P,F,4,7,6,2013,91,1
N,266060919,HOWA,2,P,M,0,7,6,2013,91,5
N,266060920,HOWA,5,P,F,4,7,6,2013,101,2
N,266060922,HOWA,5,P,M,0,7,6,2013,101,2
N,266060924,HOWA,6,P,F,3,7,6,2013,121,2
N,266060926,HOWA,6,P,F,4,7,13,2013,93,7
N,266060927,HOWA,6,P,M,0,7,13,2013,103,5
N,266060931,HOWA,2,P,M,0,7,20,2013,74,1
N,266060938,HOWA,5,P,F,4,7,20,2013,104,3
N,266060939,HOWA,2,P,M,0,7,20,2013,104,1
N,266060940,HOWA,2,P,U,0,8,3,2013,74,3
N,266060941,HOWA,2,P,M,0,8,3,2013,84,10
N,266060942,HOWA,2,P,M,0,8,3,2013,94,4
N,266060944,HOWA,2,P,M,0,8,3,2013,94,5
R,266060773,HOWA,5,P,M,0,5,21,2013,94,5
R,266060810,HOWA,6,P,M,0,5,21,2013,104,2
R,266060604,HOWA,6,P,M,0,5,21,2013,104,9
R,266060859,HOWA,5,P,F,4,6,8,2013,63,8
R,266060770,HOWA,6,P,F,4,6,8,2013,73,9
R,260060867,HOWA,5,P,M,0,6,8,2013,73,8
R,266060810,HOWA,6,P,M,0,6,8,2013,83,9
R,266060858,HOWA,5,P,M,0,6,15,2013,73,2
R,266060876,HOWA,2,P,M,0,6,15,2013,83,10
R,266060878,HOWA,5,P,F,2,6,15,2013,93,10
R,266060877,HOWA,5,P,F,4,6,22,2013,83,1
R,266060878,HOWA,5,P,F,4,7,6,2013,81,10
R,266060878,HOWA,5,P,F,4,7,13,2013,63,10
R,266060623,HOWA,6,P,F,4,7,13,2013,73,6
R,266060858,HOWA,5,P,M,0,7,13,2013,73,2
R,266060869,HOWA,5,P,M,0,7,13,2013,83,10
R,266060869,HOWA,5,P,M,0,7,13,2013,103,10
R,266060625,HOWA,6,P,M,0,7,20,2013,84,1
R,266060744,HOWA,5,P,F,4,7,20,2013,84,10
N,270030547,HOWA,5,P,F,4,5,17,2014,64,9
N,270030549,HOWA,6,P,M,0,5,17,2014,74,3
N,270030550,HOWA,6,P,M,0,5,17,2014,74,7
N,270030551,HOWA,6,P,M,0,5,17,2014,74,7
N,270030553,HOWA,5,P,F,3,5,17,2014,94,6
N,270030555,HOWA,5,P,F,3,5,17,2014,104,8
N,270030558,HOWA,5,P,F,4,5,24,2014,64,2
N,270030560,HOWA,5,P,F,1,5,24,2014,84,3
N,270030562,HOWA,5,P,M,0,5,24,2014,94,9
N,270030564,HOWA,5,P,M,0,5,24,2014,104,10
N,270030568,HOWA,5,P,F,4,6,7,2014,83,6
N,270030569,HOWA,5,P,M,0,6,7,2014,93,8
N,270030570,HOWA,6,P,M,0,6,7,2014,103,10
N,270030579,HOWA,6,P,M,0,6,14,2014,73,8
N,270030581,HOWA,5,P,M,0,6,14,2014,113,3
N,270030585,HOWA,2,P,U,0,6,28,2014,73,8
N,270030586,HOWA,5,P,M,0,6,28,2014,73,8
N,270030587,HOWA,2,P,U,0,6,28,2014,73,8
N,270030590,HOWA,5,P,M,0,6,28,2014,83,3
N,270030591,HOWA,5,P,F,4,6,28,2014,83,9
N,270030592,HOWA,5,P,F,4,6,28,2014,83,5
N,270030600,HOWA,5,P,M,0,7,9,2014,73,1
N,270030601,HOWA,2,P,M,0,7,26,2014,63,5
N,270030602,HOWA,2,P,F,0,7,26,2014,73,4
N,270030603,HOWA,5,P,F,4,7,26,2014,83,2
N,270030604,HOWA,2,P,M,0,7,26,2014,83,10
N,270030606,HOWA,2,P,M,0,7,26,2014,93,7
